Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1,Features_1,_1_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,Models,Talk time_1,SAR EU,Music play,SAR,Browser,Keyboard,Build,Triple,Dual,32GB 3GB RAM,Quad,64GB 4GB RAM,128GB 4GB RAM,128GB 6GB RAM,32GB 2GB RAM,16GB 2GB RAM,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Alert types,Clock,Alarm,Languages,5G bands,256GB 6GB RAM,512GB 6GB RAM,Dual_1,256GB 4GB RAM,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,512GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple iPhone 12 Pro Max,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-12-pro-max-.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM) - for China,,,"2020, October 13","Available. Released 2020, November 13",160.8 x 78.1 x 7.4 mm (6.33 x 3.07 x 0.29 in),228 g (8.04 oz),"Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM, dual stand-by) - for China",CDMA 800 / 1900,"Super Retina XDR OLED, HDR10, 800 nits (base), 1200 nits (peak)","6.7 inches, 109.8 cm2 (~87.4% screen-to-body ratio)","1284 x 2778 pixels, 19.5:9 ratio (~458 ppi density)","iOS 14.1, upgradable to iOS 14.4",Apple A14 Bionic (5 nm),Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM",,"4K@24/30/60fps, 1080p@30/60/120/240fps, 10\xe2\x80\x91bit HDR, Dolby Vision HDR (up to 60fps), stereo sound rec.",,"4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 3687 mAh, non-removable (14.13 Wh)",,"Silver, Graphite, Gold, Pacific Blue","$\xe2\x80\x891,099.00 / \xe2\x82\xac\xe2\x80\x891,217.50 / \xc2\xa3\xe2\x80\x891,039.00 / \xe2\x82\xb9\xe2\x80\x89129,721",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2342","HSPA 42.2/5.76 Mbps, LTE-A, 5G, EV-DO Rev.A 3.1 Mbps",Apple GPU (4-core graphics),"Dual-LED dual-tone flash, HDR (photo/panorama)",CDMA2000 1xEV-DO,HDR,Siri natural language commands and dictation Ultra Wideband (UWB) support,Up to 20 h (multimedia),AnTuTu: 638584 (v8) GeekBench: 4240 (v5.1) GFXBench: 55fps (ES 3.1 onscreen),Contrast ratio: Infinite (nominal),Photo / Video,-23.8 LUFS (Very good),,Endurance rating 95h,"Scratch-resistant ceramic glass, oleophobic coating","Fast charging 20W, 50% in 30 min (advertised) USB Power Delivery 2.0 Qi magnetic fast wireless charging 15W","A2411, A2342, A2410, A2412",,0.99 W/kg (head) \xc2\xa0 \xc2\xa0 0.99 W/kg (body),Up to 80 h,,,,"Glass front (Gorilla Glass), glass back (Gorilla Glass), stainless steel frame",,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,"12 MP, f/1.6, 26mm (wide), 1.7\xc2\xb5m, dual pixel PDAF, sensor-shift stabilization (IBIS) 12 MP, f/2.2, 65mm (telephoto), 1/3.4"", 1.0\xc2\xb5m, PDAF, OIS, 2.5x optical zoom 12 MP, f/2.4, 120\xcb\x9a, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",,,"$\xe2\x80\x891,099.00",,,,,,,,,,,,,,,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79, 260, 261 Sub6/mmWave - A2342","$\xe2\x80\x891,199.00","$\xe2\x80\x891,399.00",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple iPhone 12 Pro,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-12-pro--.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM) - for China,,,"2020, October 13","Available. Released 2020, October 23",146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),189 g (6.67 oz),"Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM, dual stand-by) - for China",CDMA 800 / 1900,"Super Retina XDR OLED, HDR10, 800 nits (base), 1200 nits (peak)","6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)","iOS 14.1, upgradable to iOS 14.4",Apple A14 Bionic (5 nm),Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm),No,"128GB 6GB RAM, 256GB 6GB RAM, 512GB 6GB RAM",,"4K@24/30/60fps, 1080p@30/60/120/240fps, 10\xe2\x80\x91bit HDR, Dolby Vision HDR (up to 60fps), stereo sound rec.",,"4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 2815 mAh, non-removable (10.78 Wh)",,"Silver, Graphite, Gold, Pacific Blue","$\xe2\x80\x89999.00 / \xc2\xa3\xe2\x80\x89989.00 / \xe2\x82\xb9\xe2\x80\x89129,900",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2341","HSPA 42.2/5.76 Mbps, LTE-A, 5G, EV-DO Rev.A 3.1 Mbps",Apple GPU (4-core graphics),"Dual-LED dual-tone flash, HDR (photo/panorama)",CDMA2000 1xEV-DO,HDR,Siri natural language commands and dictation Ultra Wideband (UWB) support,Up to 17 h (multimedia),AnTuTu: 596244 (v8) GeekBench: 4056 (v5.1) GFXBench: 58fps (ES 3.1 onscreen),Contrast ratio: Infinite (nominal),Photo / Video,-24.2 LUFS (Very good),,Endurance rating 81h,"Scratch-resistant ceramic glass, oleophobic coating","Fast charging 20W, 50% in 30 min (advertised) USB Power Delivery 2.0 Qi magnetic fast wireless charging 15W","A2407, A2341, A2406, A2408",,0.99 W/kg (head) \xc2\xa0 \xc2\xa0 0.99 W/kg (body),Up to 65 h,,,,"Glass front (Gorilla Glass), glass back (Gorilla Glass), stainless steel frame",,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",,"12 MP, f/1.6, 26mm (wide), 1.4\xc2\xb5m, dual pixel PDAF, OIS 12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0\xc2\xb5m, PDAF, OIS, 2x optical zoom 12 MP, f/2.4, 120\xcb\x9a, 13mm (ultrawide), 1/3.6"" TOF 3D LiDAR scanner (depth)",,,$\xe2\x80\x89999.00,,,,,,,,,,,,,,,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79, 260, 261 Sub6/mmWave - A2341","$\xe2\x80\x891,099.00","$\xe2\x80\x891,299.00",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple iPhone 12,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-12.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM) - for China,,,"2020, October 13","Available. Released 2020, October 23",146.7 x 71.5 x 7.4 mm (5.78 x 2.81 x 0.29 in),164 g (5.78 oz),"Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM, dual stand-by) - for China",CDMA 800 / 1900,"Super Retina XDR OLED, HDR10, 625 nits (base), 1200 nits (peak)","6.1 inches, 90.2 cm2 (~86.0% screen-to-body ratio)","1170 x 2532 pixels, 19.5:9 ratio (~460 ppi density)","iOS 14.1, upgradable to iOS 14.4",Apple A14 Bionic (5 nm),Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm),No,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM",,"4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec.",,"4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 2815 mAh, non-removable (10.78 Wh)",,"Black, White, Red, Green, Blue","$\xe2\x80\x89829.00 / \xe2\x82\xac\xe2\x80\x89849.00 / \xc2\xa3\xe2\x80\x89739.00 / \xe2\x82\xb9\xe2\x80\x8976,900",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2172","HSPA 42.2/5.76 Mbps, LTE-A, 5G, EV-DO Rev.A 3.1 Mbps",Apple GPU (4-core graphics),"Dual-LED dual-tone flash, HDR (photo/panorama)",CDMA2000 1xEV-DO,HDR,Siri natural language commands and dictation Ultra Wideband (UWB) support,Up to 17 h (multimedia),AnTuTu: 568674 (v8) GeekBench: 4067 (v5.1) GFXBench: 58fps (ES 3.1 onscreen),Contrast ratio: Infinite (nominal),Photo / Video,-24.4 LUFS (Very good),,Endurance rating 84h,"Scratch-resistant ceramic glass, oleophobic coating","Fast charging 20W, 50% in 30 min (advertised) USB Power Delivery 2.0 Qi magnetic fast wireless charging 15W","A2403, A2172, A2402, A2404",,0.99 W/kg (head) \xc2\xa0 \xc2\xa0 0.99 W/kg (body),Up to 65 h,,,,"Glass front (Gorilla Glass), glass back (Gorilla Glass), aluminum frame",,"12 MP, f/1.6, 26mm (wide), 1.4\xc2\xb5m, dual pixel PDAF, OIS 12 MP, f/2.4, 120\xcb\x9a, 13mm (ultrawide), 1/3.6""",,,$\xe2\x80\x89829.00,$\xe2\x80\x89879.00,,,,,,,,,,,,,,,,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79, 260, 261 Sub6/mmWave - A2172",,,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",$\xe2\x80\x89979.00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple iPhone 12 mini,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-12-mini.jpg,GSM / CDMA / HSPA / EVDO / LTE / 5G,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM) - for China,,,"2020, October 13","Available. Released 2020, November 13",131.5 x 64.2 x 7.4 mm (5.18 x 2.53 x 0.29 in),135 g (4.76 oz),"Single SIM (Nano-SIM and/or eSIM) or Dual SIM (Nano-SIM, dual stand-by) - for China",CDMA 800 / 1900,"Super Retina XDR OLED, HDR10, 625 nits (base), 1200 nits (peak)","5.4 inches, 71.9 cm2 (~85.1% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~476 ppi density)","iOS 14.1, upgradable to iOS 14.4",Apple A14 Bionic (5 nm),Hexa-core (2x3.1 GHz Firestorm + 4x1.8 GHz Icestorm),No,"64GB 4GB RAM, 128GB 4GB RAM, 256GB 4GB RAM",,"4K@24/30/60fps, 1080p@30/60/120/240fps, HDR, Dolby Vision HDR (up to 30fps), stereo sound rec.",,"4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS","Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, LE","Yes, with A-GPS, GLONASS, GALILEO, QZSS",Yes,No,"Lightning, USB 2.0","Face ID, accelerometer, gyro, proximity, compass, barometer","Li-Ion 2227 mAh, non-removable",,"Black, White, Red, Green, Blue","$\xe2\x80\x89729.00 / \xe2\x82\xac\xe2\x80\x89730.22 / \xc2\xa3\xe2\x80\x89669.00 / \xe2\x82\xb9\xe2\x80\x8964,490",HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66, 71 - A2176","HSPA 42.2/5.76 Mbps, LTE-A, 5G, EV-DO Rev.A 3.1 Mbps",Apple GPU (4-core graphics),"Dual-LED dual-tone flash, HDR (photo/panorama)",CDMA2000 1xEV-DO,HDR,Siri natural language commands and dictation Ultra Wideband (UWB) support,Up to 15 h (multimedia),AnTuTu: 589616 (v8) GeekBench: 4174 (v5.1) GFXBench: 60fps (ES 3.1 onscreen),Contrast ratio: Infinite (nominal),Photo / Video,-24.6 LUFS (Very good),,Endurance rating 69h,"Scratch-resistant ceramic glass, oleophobic coating","Fast charging 20W, 50% in 30 min (advertised) USB Power Delivery 2.0 Qi magnetic fast wireless charging 12W","A2399, A2176, A2398, A2400, A2399",,0.99 W/kg (head) \xc2\xa0 \xc2\xa0 0.99 W/kg (body),Up to 50 h,,,,"Glass front (Gorilla Glass), glass back (Gorilla Glass), aluminum frame",,"12 MP, f/1.6, 26mm (wide), 1.4\xc2\xb5m, dual pixel PDAF, OIS 12 MP, f/2.4, 120\xcb\x9a, 13mm (ultrawide), 1/3.6""",,,$\xe2\x80\x89729.00,$\xe2\x80\x89779.00,,,,,,,,,,,,,,,,,"1, 2, 3, 5, 7, 8, 12, 20, 25, 28, 38, 40, 41, 66, 71, 77, 78, 79, 260, 261 Sub6/mmWave - A2176",,,"12 MP, f/2.2, 23mm (wide), 1/3.6"" SL 3D, (depth/biometrics sensor)",$\xe2\x80\x89879.00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple,Apple iPad Air (2020),https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-air4-2020.jpg,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,,,"2020, September 15","Available. Released 2020, October 23",247.6 x 178.5 x 6.1 mm (9.75 x 7.03 x 0.24 in),458 g (Wi-Fi) / 460 g (3G/LTE) (1.01 lb),"Nano-SIM, eSIM","1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 46, 48, 66 - A2072","Liquid Retina IPS LCD, 500 nits (base)","10.9 inches, 359.2 cm2 (~81.3% screen-to-body ratio)",1640 x 2360 pixels (~264 ppi density),"iPadOS 14.1, upgradable to iPadOS 14.4",Apple A14 Bionic (5 nm),Hexa-core (2x3.0 GHz Firestorm + 4x1.8 GHz Icestorm),No,"64GB 4GB RAM,  256GB 4GB RAM","12 MP, f/1.8, (wide), 1/3"", 1.22\xc2\xb5m, dual pixel PDAF","4K@24/30/60fps, 1080p@30/60/120/240fps; gyro-EIS","7 MP, f/2.0, 31mm (standard)",1080p@30/60fps,"Yes, with stereo speakers",No,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot","5.0, A2DP, EDR","Yes, with A-GPS, GLONASS (LTE model only)",No,No,USB Type-C; magnetic connector,"Fingerprint (top-mounted), accelerometer, gyro, compass, barometer","Li-Ion 7606 mAh (28.93 Wh), non-removable",Up to 10 h (multimedia),"Space Gray, Silver, Rose Gold, Green, Sky Blue",About 640 EUR,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 29, 30, 34, 38, 39, 40, 41, 46, 48, 66, 71 - A2324","HSPA 42.2/5.76 Mbps, LTE-A (CA)",Apple GPU (4-core graphics),HDR,Stylus support,HDR,Siri natural language commands and dictation,,,,,,,,"Scratch-resistant glass, oleophobic coating",,"A2324, A2072, A2325, A2316",,,,,,,"Glass front, aluminum back, aluminum frame",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
