Brand,Model Name,Model Image,Technology,2G bands,GPRS,EDGE,Announced,Status,Dimensions,Weight,SIM,,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Talk time,Colors,Price,3G bands,4G bands,Speed,GPU,Features,_1,Features_1,_1_1,Stand-by,Performance,Display,Camera,Loudspeaker_1,Audio quality,Battery life,Protection,Charging,Models,Talk time_1,SAR EU,Music play,SAR,Browser,Keyboard,Build,Triple,Dual,32GB 3GB RAM,Quad,64GB 4GB RAM,128GB 4GB RAM,128GB 6GB RAM,32GB 2GB RAM,16GB 2GB RAM,8GB 1GB RAM,16GB 1GB RAM,Infrared port,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Alert types,Clock,Alarm,Languages,5G bands,256GB 6GB RAM,512GB 6GB RAM,Dual_1,256GB 4GB RAM,64GB 3GB RAM,128GB 3GB RAM,256GB 3GB RAM,512GB 4GB RAM,64GB 2GB RAM,256GB 2GB RAM,128GB 2GB RAM,Triple_1,256GB 8GB RAM,128GB 8GB RAM,128GB 12GB RAM,256GB 12GB RAM,512GB 12GB RAM,64GB 6GB RAM,512GB 8GB RAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus Zenfone 7 Pro ZS671KS',b'https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone7-pro-zs670ks-zs671ks-b.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, August 26'","b'Available. Released 2020, September 01'",b'165.1 x 77.3 x 9.6 mm (6.5 x 3.04 x 0.38 in)',b'230 g (8.11 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'UFS 3.1',"b'Super AMOLED , 90Hz, HDR10+, 700 nits (typ)'","b'6.67 inches, 107.4 cm2 (~84.2% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~395 ppi density)'","b'Android 10,  ZenUI 7'",b'Qualcomm SM8250 Snapdragon 865+ (7 nm+)',b'Octa-core (1x3.1 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'microSDXC (dedicated slot)',b'256GB 8GB RAM',,"b'8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR'",,"b'8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX Adaptive'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS, NavIC'",b'Yes',b'No',b'USB Type-C',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",,"b'Aurora Black, Pastel White'",b'$\xe2\x80\x89539.99 / \xe2\x82\xac\xe2\x80\x89749.00 / \xc2\xa3\xe2\x80\x89618.28',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 29, 38, 39, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat19 1800/150 Mbps, 5G 3.6 Gbps DL'",b'Adreno 650',"b'Dual-LED flash, HDR, auto panorama (motorized rotation)'",b'24-bit/192kHz audio',"b'Dual-LED flash, HDR, auto panorama (motorized rotation)'",,,b'AnTuTu: 602934 (v8) GeekBench: 3302 (v5.1) GFXBench: 46fps (ES 3.1 onscreen)',b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-26.6 LUFS (Good)',,b'Endurance rating 99h',b'Corning Gorilla Glass 6',"b'Fast charging 30W, 60% in 34 min, 100% in 93 min (advertised) USB Power Delivery 3.0 Reverse charging'","b'ZS671KS, ASUS_I002DD'",,,,,,,"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame'","b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF, OIS 8 MP, f/2.4, 80mm (telephoto), PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 113\xcb\x9a, 17mm (ultrawide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF'",,,,,,,,,,,,,,,,,,,,,,"b'1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 77, 78 SA/NSA'",,,,,,,,,,,,b'Motorized flip-up main camera module',"b'$\xe2\x80\x891,749.00'",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus Zenfone 7 ZS670KS',b'https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone7-pro-zs670ks-zs671ks.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, August 26'","b'Available. Released 2020, September 01'",b'165.1 x 77.3 x 9.6 mm (6.5 x 3.04 x 0.38 in)',b'230 g (8.11 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'UFS 3.1',"b'Super AMOLED, 90Hz, HDR10+, 700 nits (typ)'","b'6.67 inches, 107.4 cm2 (~84.2% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~395 ppi density)'","b'Android 10,  ZenUI 7'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)',b'microSDXC (dedicated slot)',"b'128GB 6GB RAM, 128GB 8GB RAM'",,"b'8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR'",,"b'8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS, HDR'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX Adaptive'","b'Yes, with dual-band A-GPS, GLONASS, GALILEO, BDS, QZSS, NavIC'",b'Yes',b'No',b'USB Type-C',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 5000 mAh, non-removable'",,"b'Aurora Black, Pastel White'",b'$\xe2\x80\x89539.99 / \xe2\x82\xac\xe2\x80\x89679.00',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 29, 38, 39, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat19 1800/150 Mbps, 5G 3.6 Gbps DL'",b'Adreno 650',"b'Dual-LED flash, HDR, auto panorama (motorized rotation)'",b'24-bit/192kHz audio',"b'Dual-LED flash, HDR, auto panorama (motorized rotation)'",,,,,,,,,b'Corning Gorilla Glass 6',"b'Fast charging 30W, 60% in 34 min, 100% in 93 min (advertised) USB Power Delivery 3.0 Reverse charging'","b'ZS670KS, ASUS_I002D'",,,,,,,"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame'","b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, 80mm (telephoto), PDAF, 3x optical zoom 12 MP, f/2.2, 113\xcb\x9a, 17mm (ultrawide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF'",,,,,,b'$\xe2\x80\x89659.99',,,,,,,,,,,,,,,,"b'1, 2, 3, 5, 7, 8, 12, 20, 28, 38, 77, 78 SA/NSA'",,,,,,,,,,,,b'Motorized flip-up main camera module',,b'$\xe2\x80\x89661.74',,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus ROG Phone 3 ZS661KS',b'https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-3-zs661ks.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, July 22'","b'Available. Released 2020, July 23'",b'171 x 78 x 9.9 mm (6.73 x 3.07 x 0.39 in)',b'240 g (8.47 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'CDMA 800 & TD-SCDMA',"b'AMOLED, 1B colors, 144Hz, HDR10+, 650 nits (typ)'","b'6.59 inches, 106.6 cm2 (~79.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)'","b'Android 10, ROG UI'",b'Qualcomm SM8250 Snapdragon 865+ (7 nm+)',b'Octa-core (1x3.1 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'No',"b'128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM'","b'24 MP, f/2.0, 27mm (wide), 0.9\xc2\xb5m'","b'8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS'",,b'1080p@30fps',"b'Yes, with DTS:X stereo speakers (2 dedicated amplifiers)'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD, aptX Adaptive'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, GNSS'",b'Yes',b'No',"b'USB Type-C 3.1 (side), USB Type-C 2.0 (bottom), accessory connector'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 6000 mAh, non-removable'",,b'Black Glare',b'$\xe2\x80\x89618.38 / \xe2\x82\xac\xe2\x80\x89835.00 / \xc2\xa3\xe2\x80\x89595.32',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - A version',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 34, 38, 39, 40, 41, 42, 48, 66, 71 - A version'","b'HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat20 2000/150 Mbps, 5G 4.4 Gbps DL'",b'Adreno 650',"b'LED flash, HDR, panorama'",b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - B version',"b'Panorama, HDR'",b'24-bit/192kHz audio',,"b'AnTuTu: 621932 (v8) GeekBench: 13306 (v4.4), 3386 (v5.1) GFXBench: 48fps (ES 3.1 onscreen)'",b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-23.1 LUFS (Very good)',,b'Endurance rating 120h',b'Corning Gorilla Glass 6',"b'Fast charging 30W Power Delivery 3.0 Quick Charge 4.0, 3.0 Reverse charging 10W'","b'ASUS_I003D, ZS661KS, I003DD, I003D'",,,,b'0.74 W/kg (head) \xc2\xa0 \xc2\xa0 1.50 W/kg (body)',,,"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame'","b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 13 MP, f/2.4, 125\xcb\x9a, 11mm (ultrawide) 5 MP, f/2.0, (macro)'",,,,,,,,,,,,,,,,,,,,,,"b'1, 2, 3, 5, 28, 41, 66, 71, 77, 78, 79 SA/NSA - A version'",,,,,,,,,,,,,,,b'$\xe2\x80\x89638.80',b'$\xe2\x80\x89724.88',b'$\xe2\x80\x89899.99',,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus ROG Phone 3 Strix',b'https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone3-strix.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2020, July 22'","b'Available. Released 2020, July 23'",b'171 x 78 x 9.9 mm (6.73 x 3.07 x 0.39 in)',b'240 g (8.47 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'CDMA 800 & TD-SCDMA',"b'AMOLED, 1B colors, 144Hz, HDR10+, 650 nits (typ)'","b'6.59 inches, 106.6 cm2 (~79.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)'","b'Android 10, ROG UI'",b'Qualcomm SM8250 Snapdragon 865 (7 nm+)',b'Octa-core (1x2.84 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.8 GHz Kryo 585)',b'No',"b'128GB 8GB RAM, 128GB 12GB RAM, 256GB 8GB RAM'","b'24 MP, f/2.0, 27mm (wide), 0.9\xc2\xb5m'","b'8K@30fps, 4K@30/60/120fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS'",,b'1080p@30fps',"b'Yes, with DTS:X stereo speakers (2 dedicated amplifiers)'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE, aptX HD, aptX Adaptive'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, GNSS'",b'Yes',b'No',"b'USB Type-C 3.1 (side), USB Type-C 2.0 (bottom), accessory connector'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 6000 mAh, non-removable'",,b'Black Glare',b'$\xe2\x80\x89579.99 / \xc2\xa3\xe2\x80\x89587.99',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41'","b'HSPA 42.2/5.76 Mbps, LTE-A (6CA) Cat18 1200/150 Mbps, 5G 4.0 Gbps DL'",b'Adreno 650',"b'LED flash, HDR, panorama'",b'RGB light panel (on the back) Pressure sensitive zones (Gaming triggers)',"b'Panorama, HDR'",b'24-bit/192kHz audio',,,,,,,,b'Corning Gorilla Glass 6',"b'Fast charging 30W Power Delivery 3.0 Quick Charge 4.0, 3.0 Reverse charging 10W'",b'ASUS_I003DD',,,,,,,"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame'","b'64 MP, f/1.8, 26mm (wide), 1/1.72"", 0.8\xc2\xb5m, PDAF 13 MP, f/2.4, 125\xcb\x9a, 11mm (ultrawide) 5 MP, f/2.0, (macro)'",,,,,,,,,,,,,,,,,,,,,,"b'41, 77, 78, 79 SA/NSA'",,,,,,,,,,,,,b'$\xe2\x80\x89765.99',b'\xc2\xa3\xe2\x80\x89587.99',b'$\xe2\x80\x89579.99',,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'asus',b'Asus ROG Phone II ZS660KL',b'https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone2.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, July 22'","b'Available. Released 2019, September'",b'171 x 77.6 x 9.5 mm (6.73 x 3.06 x 0.37 in)',b'240 g (8.47 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'RGB light panel (on the back)',"b'AMOLED, 1B colors, 120Hz, HDR10'","b'6.59 inches, 106.6 cm2 (~80.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~391 ppi density)'","b'Android 9.0 (Pie), ROG UI'",b'Qualcomm SM8150 Snapdragon 855+ (7 nm)',b'Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'No',"b'128GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM'","b'24MP, f/2.2, 0.9\xc2\xb5m'","b'4K@30/60fps, 1080p@30/60/240fps, 720p@480fps; gyro-EIS (except @240/480fps)'",,b'1080p@30fps',"b'Yes, with DTS:X stereo speakers (2 dedicated amplifiers)'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac/ad, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',b'FM radio',b'USB Type-C 3.1; accessory connector',"b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 6000 mAh, non-removable'",,"b'Matte Black, Glossy Black'","b'\xe2\x82\xac\xe2\x80\x891,069.00 / \xc2\xa3\xe2\x80\x89929.00'",b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 28, 29, 32, 34, 38, 39, 40, 41, 46'","b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 (Cat20 Ultimate edition) 1200/150 Mbps'",b'Adreno 640 (700 MHz)',"b'LED flash, HDR, panorama'",b'UFS 3.0',"b'Panorama, HDR'",b'24-bit/192kHz audio',,"b'AnTuTu: 398935 (v7), 483239 (v8) GeekBench: 10923 (v4.4) GFXBench: 40fps (ES 3.1 onscreen)'",b'Contrast ratio: Infinite (nominal)',b'Photo / Video',b'-19.5 LUFS (Excellent)',,b'Endurance rating 114h',b'Corning Gorilla Glass 6',b'Fast charging 30W Quick Charge 4.0 Reverse charging 10W',"b'ASUS_I001D, I001DA, I001DE, I001DC, I001DB, I001D'",,,,,,,"b'Glass front (Gorilla Glass 6), glass back (Gorilla Glass 3), aluminum frame'",,"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF, Laser AF 13 MP, f/2.4, 11mm (ultrawide)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'\xe2\x82\xac\xe2\x80\x891,069.00'",,,,,
