Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,SAR EU,GPU,GPRS,EDGE,,Features_1,Price,Stand-by,Talk time,Phonebook,Call records,Messaging,Games,Java,_1,_1_1,SAR,Infrared port,Keyboard,Alert types,Browser,Languages,Clock,Alarm,4G bands,Build,Quad,Charging,Models,Triple,Dual,5G bands,Protection
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool S',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool-s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2021, January 08'","b'Available. Released 2021, January 08'",b'161.2 x 76.2 x 8.9 mm (6.35 x 3.00 x 0.35 in)',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.53 inches, 104.7 cm2 (~85.2% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'Android 10',b'Mediatek MT6771 Helio P60 (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'microSDXC',b'128GB 4GB RAM',"b'25 MP, f/2.0, (wide), 1/2.78"", 0.9\xc2\xb5m'","b'Dual-LED flash, panorama, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'No',b'Yes',b'Yes',"b'Yes, with A-GPS'",b'No',b'Unspecified',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'","b'Moon White, Lapis Blue, Night Black'",,b'Mali-G72 MP3',,,,,b'About 160 EUR',,,,,,,,,,,,,,,,,,b'LTE (unspecified)',"b'Glass front, glass back, plastic frame'","b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.0, 120\xcb\x9a (ultrawide) 5 MP, f/2.0, (macro) 0.3 MP, (depth)'",b'Charging 10W',b'2039',,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool 6',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool6.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, October 15'","b'Available. Released 2020, October 15'",b'162.4 x 76.5 x 9.2 mm (6.39 x 3.01 x 0.36 in)',b'198 g (6.98 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.53 inches, 104.7 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'Android 10',b'Mediatek MT6771T Helio P70 (12nm)',b'Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'microSDXC (uses shared SIM slot)',"b'64GB 4GB RAM, 128GB 6GB RAM'",b'Motorized pop-up 21 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'No',b'Yes',b'Yes',"b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Gray, Blue'",,b'Mali-G72 MP3',,,,,b'About 130 EUR',,,,,,,,,,,,,,,,,,b'LTE (unspecified)',,,,,"b'48 MP, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool 12A',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool12a.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, October 05'","b'Available. Released 2020, October 05'",b'156.2 x 75.2 x 8.9 mm (6.15 x 2.96 x 0.35 in)',b'202.5 g (7.16 oz)',b'Nano-SIM',b'IPS LCD',"b'6.3 inches, 97.4 cm2 (~82.9% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~273 ppi density)'",b'Android',b'Spreadtrum',b'Quad-core (1x2.0 GHz Cortex-A75 & 3x1.8 GHz Cortex-A55)',b'microSD',b'64GB 4GB RAM',b'8 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'","b'Dream Black, Dream Blue, Fantasy Silver'",,,,,,,b'About 70 EUR',,,,,,,,,,,,,,,,,,b'LTE (unspecified)',"b'Glass front, plastic frame, glass back'",,,,,"b'16 MP, PDAF 2 MP'",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Cool 10',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-cool10.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, June 05'","b'Available. Released 2020, June 12'",b'165.7 x 76.5 x 9.1 mm (6.52 x 3.01 x 0.36 in)',b'202.8 g (7.16 oz)',b'Nano-SIM',b'IPS LCD',"b'6.52 inches, 104.4 cm2 (~82.3% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~264 ppi density)'",b'Android',b'Mediatek MT6758 Helio P30 (16 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.65 GHz Cortex A53)',b'microSD',b'128GB 6GB RAM',b'8 MP',"b'LED flash, panorama, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',,b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, proximity'","b'Li-Po 4900 mAh, non-removable'","b'Black, Blue, White'",,b'Mali-G71 MP2',,,,,b'About 110 EUR',,,,,,,,,,,,,,,,,,b'LTE (unspecified)',,,,b'SEA-A0',"b'16 MP, f/1.5, PDAF 2 MP 2 MP'",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'coolpad',b'Coolpad Legacy 5G',b'https://fdn2.gsmarena.com/vv/bigpic/coolpad-legacy-5g-.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 1700(AWS) / 1900',"b'HSPA 42.2/5.76 Mbps, LTE-A, 5G (2+ Gbps DL)'","b'2020, January'",b'Cancelled',b'165 x 77 x 9.5 mm (6.50 x 3.03 x 0.37 in)',b'195 g (6.88 oz)',b'Nano-SIM',"b'IPS LCD, HDR10'","b'6.53 inches, 104.7 cm2 (~82.4% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density)'",b'Android 10',b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'microSD',b'64GB 4GB RAM',b'16 MP',"b'LED flash, panorama, HDR'","b'4K@30fps, 1080p@30fps'",,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'",b'Yellow/Blue',,b'Adreno 620',,,b'CDMA 800 / 1900',b'HDR',b'About 360 EUR',,,,,,,,b'CDMA2000 1xEV-DO',b'UFS 2.1',,,,,,,,,b'LTE (unspecified)',,,b'Fast charging 18W Quick Charge 3.0',,,"b'48 MP, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, (ultrawide)'",b'SA/NSA/Sub6',
