Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,SAR EU,GPU,GPRS,EDGE,,Features_1,Price,Stand-by,Talk time,Phonebook,Call records,Messaging,Games,Java,_1,_1_1,SAR,Infrared port,Keyboard,Alert types,Browser,Languages,Clock,Alarm,4G bands,Build,Quad,Charging,Models,Triple,Dual,5G bands,Protection,Camera,Loudspeaker_1,Audio quality,Dual_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Ultimate U710S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-u710s.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE-A'","b'2020, February 17'",b'Cancelled',b'180.3 x 86.8 x 9.2 mm (7.10 x 3.42 x 0.36 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'7.12 inches, 127.8 cm2 (~81.7% screen-to-body ratio)'","b'1080 x 2244 pixels, 18.7:9 ratio (~350 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6763 Helio P23 (16 nm)',b'Octa-core (4x2.0 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'microSDXC',b'32GB 3GB RAM',b'5 MP',"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 6000 mAh, non-removable'",b'Gray',,b'Mali-G71 MP2',,,b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,"b'1, 3, 7, 8, 20, 28, 38, 40'",,,b'Charging 10W',,,"b'13 MP, PDAF VGA'",,b'AGC glass',,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Energy E12',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-energy-e12.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, April'","b'Available. Released 2019, June'",b'117 x 51 x 15 mm (4.61 x 2.01 x 0.59 in)',b'91 g (3.21 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~17.1% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'Spreadtrum SC6531E',,b'microSDHC',b'4MB 4MB RAM',b'VGA',,b'Yes',b'VGA',b'',b'Yes',b'Yes',b'No',b'2.1',b'No',b'No',b'FM radio',b'microUSB 2.0',b'',b'Li-Ion 1000 mAh battery',b'Black',,,b'Yes',b'Yes',b'- Flashlight',,b'About 10 EUR',,,b'Yes',b'Yes',"b'SMS, MMS'",b'',b'No',,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Hardcase H10',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-hardcase-h10.jpg',b'GSM',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',,,"b'2019, April'","b'Available. Released 2019, April'",b'109 x 49 x 15 mm (4.29 x 1.93 x 0.59 in)',b'80 g (2.82 oz)',b'Dual SIM (Mini-SIM)',"b'TFT, 256K colors'","b'1.8 inches, 10.2 cm2 (~19.1% screen-to-body ratio)'",b'128 x 160 pixels (~114 ppi density)',,b'Mediatek MT6261A',,b'microSDHC',b'64MB 32MB RAM',b'VGA',,b'Yes',b'VGA',b'',b'Yes',b'Yes',b'No',b'3.0',b'No',b'No',b'FM radio',b'microUSB',b'',b'Li-Ion 1000 mAh battery',b'Black',,,b'Yes',b'Yes',b'IP54 splash/shock proof - Flashlight',,b'About 30 EUR',,,b'Yes',b'Yes',b'SMS',b'',b'No',,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Power Max P8100S',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p8100s-.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat13 600/50 Mbps; 5G (2+ Gbps DL)'","b'2019, February'",b'Cancelled',b'-',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'Foldable IPS LCD',"b'8.1 inches, 203.2 cm2'","b'1536 x 2048 pixels, 4:3 ratio (~316 ppi density)'",b'Android 9.0 (Pie)',b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'microSDXC',b'256GB 8GB RAM',"b'24 MP, f/2.0, 26mm (wide), 1/2.8"", 0.9\xc2\xb5m'","b'Dual-LED flash, HDR, panorama'",b'4K@30fps',,b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C',"b'Accelerometer, gyro, proximity, compass'","b'Li-Po 10000 mAh, non-removable'",b'Dark red',,b'Adreno 640',,,"b'Cover display: 6 inches, 1080 x 2160 pixels'",,b'About 900 EUR',,,,,,,,,,,,,,,,,,b'LTE (unspecified)',,,b'Fast charging 18W',,,"b'48 MP, f/1.8, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 12 MP'",b'NSA',,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'energizer',b'Energizer Power Max P18K Pop',b'https://fdn2.gsmarena.com/vv/bigpic/energizer-power-max-p18k-pop-100.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2019, February'",b'Cancelled',b'\xe2\x81\x93 30-40 mm thickness',b'-',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.2 inches, 95.9 cm2 (~83.8% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~407 ppi density)'",b'Android 9.0 (Pie)',b'Mediatek MT6771 Helio P70 (12nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'microSDXC (uses shared SIM slot)',b'128GB 6GB RAM',,"b'Dual-LED dual-tone flash, panorama, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'","b'Li-Po 18000 mAh, non-removable'","b'Black, Blue'",,b'Mali-G72 MP3',,,b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,"b'1, 3, 5, 7, 8, 20'",,,b'Fast charging 18W USB Power Delivery 2.0 Reverse charging',,"b'12 MP, PDAF 5 MP 2 MP, (depth)'","b'16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m 2 MP, depth sensor'",,,,,,
