Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,SAR EU,GPU,GPRS,EDGE,,Features_1,Price,Stand-by,Talk time,Phonebook,Call records,Messaging,Games,Java,_1,_1_1,SAR,Infrared port,Keyboard,Alert types,Browser,Languages,Clock,Alarm,4G bands,Build,Quad,Charging,Models,Triple,Dual,5G bands,Protection,Camera,Loudspeaker_1,Audio quality,Dual_1,Stand-by_1,Talk time_1,Battery life,Performance,Display
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee K30 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/gionee-k30-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, December 08'","b'Available. Released 2020, December'",b'165 x 76 x 8 mm (6.50 x 2.99 x 0.31 in)',b'165 g (5.82 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'LTPS IPS LCD',"b'6.53 inches, 104.7 cm2 (~83.5% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~263 ppi density)'",b'Android',b'Mediatek',b'Octa-core 2.0 GHz',b'microSDXC',"b'128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM'",b'8 MP',"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'","b'Black, Blue, White'",,,,,b'eMMC 5.1',,b'About 100 EUR',,,,,,,,b'24-bit/192kHz audio',,,,,,,,,,b'LTE (unspecified)',"b'Glass front, plastic frame, glass back'",,b'Fast charging 20W',b'GSE1020',"b'16 MP, f/1.8, (wide), PDAF 5 MP, 120\xcb\x9a (ultrawide) 2 MP, (depth)'",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee P12',b'https://fdn2.gsmarena.com/vv/bigpic/gionee-p12.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 1900',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2020, November 09'","b'Available. Released 2020, November 09'",b'156.1 x 73.7 x 9.7 mm (6.15 x 2.90 x 0.38 in)',b'178 g (6.28 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.1 inches, 89.8 cm2 (~78.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~288 ppi density)'",b'Android 10',b'Mediatek MT6761 Helio A20 (12 nm)',b'Quad-core 1.8 GHz Cortex-A53',b'microSDXC',b'16GB 2GB RAM',b'5 MP',"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Ion 3200 mAh, non-removable'","b'Black, Purple'",,b'PowerVR GE8320',,,b'eMMC 5.1',,b'About 80 EUR',,,,,,,,,,,,,,,,,,"b'1, 3, 7, 8, 20, 28, 40'","b'Glass front, plastic frame, glass back'",,,,"b'13 MP, (wide), AF 0.3 MP, (ultrawide) 0.3 MP, (depth)'",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee M12',b'https://fdn2.gsmarena.com/vv/bigpic/gionee-m12-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 1900',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2020, November 16'","b'Available. Released 2020, November 16'",b'163.9 x 76.8 x 9.3 mm (6.45 x 3.02 x 0.37 in)',b'196 g (6.91 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.55 inches, 103.6 cm2 (~82.3% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~268 ppi density)'",b'Android 10',b'MediaTek Helio A25 (12 nm) - model 1Mediatek MT6762 Helio P22 (12 nm) - model 2',b'Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53) - model 1Octa-core 2.0 GHz Cortex-A53 - model 2',b'microSDXC',"b'64GB 4GB RAM, 128GB 6GB RAM'",b'16 MP',"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, dual-band, hotspot'","b'5.0, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 5100 mAh, non-removable'","b'Magic Green, Dazzling Black'",,b'PowerVR GE8320',,,b'eMMC 5.1',,b'About 150 EUR',,,,,,,,,,,,,,,,,,"b'1, 2, 3, 5, 7, 8, 20, 28, 40'","b'Glass front, plastic frame, plastic back'","b'48 MP, f/1.8, (wide), PDAF 5 MP, f/2.2, 115\xcb\x9a, (ultrawide) 2 MP (depth) 2 MP (depth)'",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee S12 Lite',b'https://fdn2.gsmarena.com/vv/bigpic/gionee-s12-lite.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2020, September 29'","b'Available. Released 2020, October 05'",b'166.2 x 76.3 x 8.4 mm (6.54 x 3.00 x 0.33 in)',b'174 g (6.14 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~80.9% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Android 10',b'MediaTek Helio A25 (12 nm)',b'Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'microSDXC',b'32GB 3GB RAM',b'8 MP',"b'LED flash, HDR'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'","b'Blue, Green, Gray'",,b'PowerVR GE8320',,,b'eMMC 5.1',,,,,,,,,,,,,,,,,,,,"b'1, 3, 7, 8, 20, 28, 40'","b'Glass front, plastic frame, plastic back'",,,b'H602',"b'13 MP, (wide), AF 5 MP, (ultrawide) 2 MP (depth)'",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee S12',b'https://fdn2.gsmarena.com/vv/bigpic/gionee-s12.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps'","b'2020, July'","b'Available. Released 2020, July 15'",b'164.6 x 76.6 x 8.8 mm (6.48 x 3.02 x 0.35 in)',b'181 g (6.38 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.52 inches, 102.6 cm2 (~81.4% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~269 ppi density)'",b'Android 10',b'MediaTek Helio A25 (12 nm)',b'Octa-core (4x1.8 GHz Cortex-A53 & 4x1.5 GHz Cortex-A53)',b'microSDXC',b'64GB 4GB RAM',b'13 MP',"b'LED flash, HDR, panorama'",b'1080p@30fps',,b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',b'USB Type-C 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 4000 mAh, non-removable'","b'Black, Blue'",,b'PowerVR GE8320',,,b'eMMC 5.1',,b'About 140 EUR',,,,,,,,,,,,,,,,,,"b'1, 3, 7, 8, 20, 28, 40'","b'Glass front, plastic frame, plastic back'",,,,"b'16 MP, (wide), AF 8 MP, (ultrawide) 2 MP (depth)'",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee M30',b'https://fdn2.gsmarena.com/vv/bigpic/gionee-m30.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, August 25'","b'Available. Released 2020, August 31'",b'-',b'305 g (10.76 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.0 inches, 92.9 cm2'","b'720 x 1440 pixels, 18:9 ratio (~268 ppi density)'",b'Android',b'Mediatek MT6771 Helio P60 (12 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53)',b'microSDXC',b'128GB 8GB RAM',"b'16 MP, (wide), AF'",b'LED flash',b'1080p@30fps',b'8 MP',b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'","b'Li-Po 10000 mAh, non-removable'",b'Black',,b'Mali-G72 MP3',,,,,b'About 170 EUR',,,,,,,,,,,,,,,,,,b'LTE (unspecified)',"b'Glass front, aluminum frame, aluminum back'",,b'Fast charging 25W Reverse charging',,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'gionee',b'Gionee Max',b'https://fdn2.gsmarena.com/vv/bigpic/gionee-max.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, August 25'","b'Available. Released 2020, August 31'",b'148 x 70.9 x 10.8 mm (5.83 x 2.79 x 0.43 in)',b'185 g (6.53 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.1 inches, 91.3 cm2 (~87.0% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'",b'Android 10',b'Unisoc SC9863A (28nm)',b'Octa-core (4x1.6 GHz Cortex-A55 & 4x1.2 GHz Cortex-A55)',b'microSDXC (dedicated slot)',b'32GB 2GB RAM',b'5 MP',b'LED flash',b'1080p@24fps',,b'',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, hotspot'","b'4.2, A2DP'","b'Yes, with A-GPS'",b'No',b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'","b'Black, Red, Royal Blue'",,b'IMG8322',,,b'eMMC 5.1',,b'About 70 EUR',,,,,,,,,,b'0.41 W/kg (head) \xc2\xa0 \xc2\xa0 0.90 W/kg (body)',,,,,,,,"b'1, 3, 5, 8, 38, 40, 41'",,,,,,"b'13 MP, (wide), AF 0.3 MP (depth)'",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
