Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,OS,Chipset,CPU,Card slot,Internal,Single,Features,Video,Single_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Radio,USB,Sensors,Type_1,Colors,SAR EU,GPU,GPRS,EDGE,,Features_1,Price,Stand-by,Talk time,Phonebook,Call records,Messaging,Games,Java,_1,_1_1,SAR,Infrared port,Keyboard,Alert types,Browser,Languages,Clock,Alarm,4G bands,Build,Quad,Charging,Models,Triple,Dual,5G bands,Protection,Camera,Loudspeaker_1,Audio quality,Dual_1,Stand-by_1,Talk time_1,Battery life,Performance,Display,128GB 8GB RAM,128GB 6GB RAM,64GB 6GB RAM,64GB 4GB RAM,128GB 4GB RAM,Music play
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'google',b'Google Pixel 5',b'https://fdn2.gsmarena.com/vv/bigpic/google-pixel-5-5g.jpg',b'GSM / CDMA / HSPA / EVDO / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G'","b'2020, September 30'","b'Available. Released 2020, October 15'",b'144.7 x 70.4 x 8 mm (5.70 x 2.77 x 0.31 in)',b'151 g (5.33 oz)',b'Nano-SIM and/or eSIM',"b'OLED, 90Hz, HDR10+'","b'6.0 inches, 87.6 cm2 (~85.9% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~432 ppi density)'",b'Android 11',b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'No',b'128GB 8GB RAM',"b'8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12\xc2\xb5m'","b'LED flash, Auto-HDR, panorama'","b'4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS'",,b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS'",b'Yes',b'No',b'USB Type-C 3.1',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer'","b'Li-Po 4080 mAh, non-removable'","b'Just Black, Sorta Sage'",,b'Adreno 620',,,b'CDMA 800 / 1700 / 1900',b'Auto-HDR',"b'$\xe2\x80\x89691.49 / \xe2\x82\xac\xe2\x80\x89789.99 / \xc2\xa3\xe2\x80\x89599.00 / \xe2\x82\xb9\xe2\x80\x8969,500'",,,,,,,,b'CDMA2000 1xEV-DO',b'UFS 2.1',,,,,,,,,"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 38, 39, 40, 41, 42, 46, 48, 66, 71'","b'Glass front (Gorilla Glass 6), aluminum back, aluminum frame'",,b'USB Power Delivery 2.0 Fast charging 18W Wireless charging 12W Reverse charging 5W',"b'GD1YQ, GTT9Q'",,"b'12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF, OIS 16 MP, f/2.2, 107\xcb\x9a (ultrawide), 1.0\xc2\xb5m'","b'1, 2, 3, 5, 7, 8, 12, 28, 41, 66, 71, 77, 78, 258, 260, 261 Sub6/mmWave - GD1YQ'",b'Corning Gorilla Glass 6',,,,,,,b'Endurance rating 95h',,b'Contrast ratio: Infinite (nominal)',b'$\xe2\x80\x89691.49',,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'google',b'Google Pixel 4a 5G',b'https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4a-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (CA), 5G'","b'2020, September 30'","b'Available. Released 2020, November 05'",b'153.9 x 74 x 8.2 mm (Sub-6) or 8.5 mm (Sub-6 and mmWave)',b'168 g (5G Sub-6); 171 g ( 5G Sub-6 and mmWave) (5.93 oz)',b'Nano-SIM and/or eSIM',"b'OLED, HDR'","b'6.2 inches, 95.7 cm2 (~84.1% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~413 ppi density)'",b'Android 11',b'Qualcomm SM7250 Snapdragon 765G (7 nm)',b'Octa-core (1x2.4 GHz Kryo 475 Prime & 1x2.2 GHz Kryo 475 Gold & 6x1.8 GHz Kryo 475 Silver)',b'No',b'128GB 6GB RAM',"b'8 MP, f/2.0, 24mm (wide), 1/4.0"", 1.12\xc2\xb5m'","b'LED flash, Auto-HDR, panorama'","b'4K@30/60fps, 1080p@30/60/120/240fps; gyro-EIS'",,b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS, BDS'",b'Yes',b'No',b'USB Type-C 3.1',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer'","b'Li-Po 3885 mAh, non-removable'",b'Just Black',,b'Adreno 620',,,b'Always-on display',b'Auto-HDR',b'$\xe2\x80\x89459.00 / \xe2\x82\xac\xe2\x80\x89501.05 / \xc2\xa3\xe2\x80\x89429.99',,,,,,,,b'UFS 2.1',,,,,,,,,,"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 19, 20, 25, 26, 28, 29, 30, 32, 38, 39, 40, 41, 42, 46, 48, 66, 71'","b'Glass front (Gorilla Glass 3), plastic back, plastic frame'",,b'Fast charging 18W USB Power Delivery 2.0',"b'GD1YQ, G025I'",,"b'12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF, OIS 16 MP, f/2.2, 107\xcb\x9a (ultrawide), 1.0\xc2\xb5m'","b'1, 2, 3, 5, 7, 8, 12, 28, 41, 66, 71, 77, 78 Sub6, mmWave (market dependant)'",b'Corning Gorilla Glass 3',,,,,,,,,,,b'$\xe2\x80\x89459.00',,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'google',b'Google Pixel 4a',b'https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4a.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat12 600/75 Mbps'","b'2020, August 03'","b'Available. Released 2020, August 20'",b'144 x 69.4 x 8.2 mm (5.67 x 2.73 x 0.32 in)',b'143 g (5.04 oz)',b'Nano-SIM and/or eSIM',"b'OLED, HDR'","b'5.81 inches, 83.2 cm2 (~83.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~443 ppi density)'","b'Android 10, upgradable to Android 11'",b'Qualcomm SDM730 Snapdragon 730G (8 nm)',b'Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)',b'No',b'128GB 6GB RAM',"b'12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF, OIS'","b'LED flash, Auto-HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps; gyro-EIS'","b'8 MP, f/2.0, 24mm (wide), 1.12\xc2\xb5m'",b'1080p@30fps',"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, GALILEO, QZSS'",b'Yes',b'No',b'USB Type-C 3.1',"b'Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer'","b'Li-Po 3140 mAh, non-removable'","b'Just Black, Barely Blue'",,b'Adreno 618',,,b'Always-on display',b'Auto-HDR',"b'$\xe2\x80\x89349.00 / \xe2\x82\xac\xe2\x80\x89400.00 / \xc2\xa3\xe2\x80\x89349.00 / \xe2\x82\xb9\xe2\x80\x8937,850'",,,,,,,,b'UFS 2.1',,,,,,,,,,"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 18, 20, 25, 26, 28, 29, 30, 38, 39, 40, 41, 66, 71'","b'Glass front (Gorilla Glass 3), plastic back, plastic frame'",,b'Fast charging 18W USB Power Delivery 2.0',b'G025J',,,,b'Corning Gorilla Glass 3',,,,,,,b'Endurance rating 76h',"b'AnTuTu: 268714 (v8) GeekBench: 6426 (v4.4), 1626 (v5.1) GFXBench: 17fps (ES 3.1 onscreen)'",b'Contrast ratio: Infinite (nominal)',,b'$\xe2\x80\x89349.00',,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'google',b'Google Pixel 4 XL',b'https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2019, October 15'","b'Available. Released 2019, October 22'",b'160.4 x 75.1 x 8.2 mm (6.31 x 2.96 x 0.32 in)',b'193 g (6.81 oz)',b'Nano-SIM and/or eSIM',"b'P-OLED, 90Hz, HDR'","b'6.3 inches, 98.0 cm2 (~81.3% screen-to-body ratio)'","b'1440 x 3040 pixels, 19:9 ratio (~537 ppi density)'","b'Android 10, upgradable to Android 11'",b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'No',"b'64GB 6GB RAM, 128GB 6GB RAM'",,"b'Dual-LED flash, Auto-HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)'",,b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'No',b'USB Type-C 3.1',"b'Face ID, accelerometer, gyro, proximity, compass, barometer'","b'Li-Po 3700 mAh, non-removable'","b'Clearly White, Just Black, Oh So Orange'",,b'Adreno 640',,,b'CDMA 800 / 1900',b'Auto-HDR',"b'$\xe2\x80\x89447.06 / \xe2\x82\xac\xe2\x80\x89509.00 / \xc2\xa3\xe2\x80\x89340.61 / \xe2\x82\xb9\xe2\x80\x8975,899'",,,,,,,,b'CDMA2000 1xEV-DO',b'UFS 2.1',,,,,,,,,"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66, 71 - Global'","b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame'",,b'Fast charging 18W USB Power Delivery 2.0 Wireless charging',"b'G020P, G020, GA01181-US, GA01182-US, GA01180-US'",,"b'12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF, OIS 16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0\xc2\xb5m, PDAF, OIS, 2x optical zoom'",,b'Corning Gorilla Glass 5',b'Photo / Video',b'Voice 80dB / Noise 78dB / Ring 88dB',b'Noise -93.9 / Crosstalk -94.1',"b'8 MP, f/2.0, 22mm (wide), 1.22\xc2\xb5m, no AF TOF 3D, (depth/biometrics sensor)'",,,b'Endurance rating 73h',"b'AnTuTu: 323305 (v7), 403267 (v8) GeekBench: 10171 (v4.4), 2267 (v5.1) GFXBench: 21fps (ES 3.1 onscreen)'",,,b'$\xe2\x80\x89849.99',b'$\xe2\x80\x89447.06',,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'google',b'Google Pixel 4',b'https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A (5CA) Cat18 1200/150 Mbps'","b'2019, October 15'","b'Available. Released 2019, October 22'",b'147.1 x 68.8 x 8.2 mm (5.79 x 2.71 x 0.32 in)',b'162 g (5.71 oz)',b'Nano-SIM and/or eSIM',"b'P-OLED, 90Hz, HDR'","b'5.7 inches, 80.7 cm2 (~79.8% screen-to-body ratio)'","b'1080 x 2280 pixels, 19:9 ratio (~444 ppi density)'","b'Android 10, upgradable to Android 11'",b'Qualcomm SM8150 Snapdragon 855 (7 nm)',b'Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485)',b'No',"b'64GB 6GB RAM, 128GB 6GB RAM'",,"b'Dual-LED flash, Auto-HDR, panorama'","b'4K@30fps, 1080p@30/60/120fps, 1080p@30fps (gyro-EIS)'",,b'1080p@30fps',"b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot'","b'5.0, A2DP, LE, aptX HD'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO'",b'Yes',b'No',b'USB Type-C 3.1',"b'Face ID, accelerometer, gyro, proximity, compass, barometer'","b'Li-Po 2800 mAh, non-removable'","b'Clearly White, Just Black, Oh So Orange'",,b'Adreno 640',,,b'CDMA 800 / 1900',b'Auto-HDR',b'$\xe2\x80\x89390.26 / \xe2\x82\xac\xe2\x80\x89462.00 / \xc2\xa3\xe2\x80\x89302.19',,,,,,,,b'CDMA2000 1xEV-DO',b'UFS 2.1',,,,,,,,,"b'1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 32, 38, 39, 40, 41, 66, 71 - Global'","b'Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), aluminum frame'",,b'Fast charging 18W USB Power Delivery 2.0 Wireless charging',"b'G020M, G020I, GA01188-US, GA01187-US, GA01189-US, GA01191-US, GA01189-US'",,"b'12.2 MP, f/1.7, 27mm (wide), 1/2.55"", 1.4\xc2\xb5m, dual pixel PDAF, OIS 16 MP, f/2.4, 50mm (telephoto), 1/3.6"", 1.0\xc2\xb5m, PDAF, OIS, 2x optical zoom'",,b'Corning Gorilla Glass 5',b'Photo / Video',b'Voice 79dB / Noise 71dB / Ring 83dB',b'Noise -71.5dB / Crosstalk -69.8dB',"b'8 MP, f/2.0, 22mm (wide), 1.22\xc2\xb5m, no AF TOF 3D, (depth/biometrics sensor)'",,,b'Endurance rating 62h',b'AnTuTu: 395351 (v8) GeekBench: 2542 (v5.1) GFXBench: 31fps (ES 3.1 onscreen)',b'Contrast ratio: Infinite (nominal)',,b'$\xe2\x80\x89649.99',b'$\xe2\x80\x89390.26',,,
