Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Triple,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Charging,Colors,_1_1,Models,Price,Quad,Single,Performance,Display,Camera,Loudspeaker_1,Battery life,GPRS,EDGE,Build,4GB,Single_1,Dual_1,Protection,128GB 4GB RAM,256GB 8GB RAM,128GB 8GB RAM,128GB 6GB RAM,Audio quality,256GB 6GB RAM,Triple_1,64GB 3GB RAM,64GB 4GB RAM,64GB 6GB RAM,SAR EU,SAR,Stand-by,Talk time
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor View40',b'https://fdn2.gsmarena.com/vv/bigpic/honor-v40-5g.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',b'LTE',b'SA/NSA',"b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2021, January 22'","b'Coming soon. Exp. release 2021, Q2'",b'163.1 x 74.3 x 8 mm (6.42 x 2.93 x 0.31 in)',b'189 g (6.67 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 1B colors, HDR10, 120Hz, 800 nits (peak)'","b'6.72 inches, 110.9 cm2 (~91.5% screen-to-body ratio)'","b'1236 x 2676 pixels, 19.5:9 ratio (~439 ppi density)'",b'Always-on display',"b'Android 10, with Google Play Services (unconfirmed)'",b'Mediatek MT6889Z Dimensity 1000+ (7nm)',b'Octa-core (4x2.6 GHz Cortex-A77 & 4x2.0 GHz Cortex-A55)',b'Mali-G77 MC9',b'No',b'256GB 8GB RAM',b'UFS 2.1',"b'50 MP, f/1.9, (wide), 1/1.56"", 1.0\xc2\xb5m, PDAF, Laser AF 8 MP, f/2.4, 120\xcb\x9a, 17mm (ultrawide) 2 MP, f/2.4, (macro)'","b'LED flash, panorama, HDR'","b'4K, 1080p, 720p@1920fps, HDR, gyro-EIS'","b'16 MP, f/2.0, (wide) Color spectrum sensor'",b'HDR',"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',b'Yes',b'No',"b'USB Type-C, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Fast charging 66W, 60% in 15 min, 100% in 35 min (advertised) Fast wireless charging 50W, 50% in 35 min (advertised) Reverse charging 5W'","b'Midnight Black, Rose Gold, Titanium Silver'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor V40 5G',b'https://fdn2.gsmarena.com/vv/bigpic/honor-v40-5g.jpg',b'GSM / CDMA / HSPA / CDMA2000 / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100',"b'1, 2, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 28, 38, 41, 77, 78, 79 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2021, January 22'","b'Available. Released 2021, January 22'",b'163.1 x 74.3 x 8 mm (6.42 x 2.93 x 0.31 in)',b'189 g (6.67 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 1B colors, HDR10, 120Hz, 800 nits (peak)'","b'6.72 inches, 110.4 cm2 (~91.1% screen-to-body ratio)'","b'1236 x 2676 pixels, 19.5:9 ratio (~440 ppi density)'",b'CDMA 800',"b'Android 10, Magic UI 4.0, no Google Play Services'",b'Mediatek MT6889Z Dimensity 1000+ (7nm)',b'Octa-core (4x2.6 GHz Cortex-A77 & 4x2.0 GHz Cortex-A55)',b'Mali-G77 MC9',b'No',"b'128GB 8GB RAM, 256GB 8GB RAM'",b'CDMA2000 1x',"b'50 MP, f/1.9, (wide), 1/1.56"", 1.0\xc2\xb5m, PDAF, Laser AF 8 MP, f/2.4, 120\xcb\x9a, 17mm (ultrawide) 2 MP, f/2.4, (macro)'","b'LED flash, panorama, HDR'","b'4K, 1080p, 720p@1920fps, HDR, gyro-EIS'","b'16 MP, f/2.0, (wide) Color spectrum sensor'",b'HDR',"b'1080p@30fps, gyro-EIS'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',b'Yes',b'No',"b'USB Type-C, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Fast charging 66W, 60% in 15 min, 100% in 35 min (advertised) Fast wireless charging 50W, 50% in 35 min (advertised) Reverse charging 5W'","b'Midnight Black, Rose Gold, Titanium Silver'",b'UFS 2.1',b'YOK-AN10',b'About 460 EUR',,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor 10X Lite',b'https://fdn2.gsmarena.com/vv/bigpic/honor-10x-lite.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',b'LTE (unspecified)',,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, October 29'","b'Available. Released 2020, October 29'",b'165.7 x 76.9 x 9.3 mm (6.52 x 3.03 x 0.37 in)',b'206 g (7.27 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.67 inches, 107.4 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~395 ppi density)'",,"b'Android 10, Magic UI 3.1, no Google Play Services'",b'Kirin 710A (14 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',b'microSDXC (dedicated slot)',b'128GB 4GB RAM',,,"b'LED flash, HDR, panorama'",b'1080p@30/60fps',,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',,"b'FM radio, built-in antenna'",b'USB Type-C 2.0',"b'Fingerprint (side-mounted), accelerometer, proximity'","b'Li-Po 5000 mAh, non-removable'","b'Fast charging 22.5W, 46% in 30 min (advertised)'","b'Icelandic Frost, Midnight Black, Emerald Green'",,,b'About 230 EUR',"b'48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, 120\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'8 MP, f/2.0, (wide)'",b'AnTuTu: 172910 (v8) GeekBench: 1346 (v5.1) GFXBench: 7fps (ES 3.1 onscreen)',b'Contrast ratio: 1260:1 (nominal)',b'Photo / Video',b'-29.4 LUFS (Average)',b'Endurance rating 114h',,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor 30i',b'https://fdn2.gsmarena.com/vv/bigpic/honor-30i.jpg',b'GSM / CDMA / HSPA / LTE',b'GSM 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'1, 2, 3, 4, 5, 7, 8, 19, 20, 26, 28, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE'","b'2020, September 11'","b'Available. Released 2020, September 12'",b'157.2 x 73.2 x 7.7 mm (6.19 x 2.88 x 0.30 in)',b'171.5 g (6.07 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'AMOLED, 600 nits (typ)'","b'6.3 inches, 95.8 cm2 (~83.3% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~418 ppi density)'",b'CDMA 800 & TD-SCDMA',"b'Android 10, Magic UI 2.1'",b'Kirin 710F (12 nm)',b'Octa-core (4x2.2 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'",b'128GB 4GB RAM',,"b'48 MP, f/1.8, 28mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 8 MP, f/2.4, 120\xcb\x9a (ultrawide) 2 MP, f/2.4, (depth)'","b'LED flash, HDR, panorama'",b'1080p@30fps',,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Yes',,b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Charging 10W, 53% in 30 min (advertised)'","b'Ultraviolet Sunset, Turquoise, Midnight Black'",,b'LRA-LX1',b'About 200 EUR',,"b'16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0\xc2\xb5m'",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'honor',b'Honor Watch GS Pro',b'https://fdn2.gsmarena.com/vv/bigpic/honor-watch-gs-pro.jpg',b'No cellular connectivity',b'N/A',b'N/A',b'N/A',,b'No',"b'2020, September 04'","b'Available. Released 2020, September 07'",b'-',b'45.5 g (1.62 oz)',b'No',b'AMOLED',"b'1.39 inches, 12.5 cm2'","b'454 x 454 pixels, 1:1 ratio (~326 ppi density)'",b'5ATM water resistant MIL-STD-810G compliant',b'Huawei wearable platform',,,,b'No',b'4GB',b'eMMC',,,,,,,b'No',b'No',b'No',"b'5.0, LE'","b'Yes, with GLONASS'",b'No',,b'No',b'No',"b'Accelerometer, gyro, heart rate, SpO2'","b'Li-Ion, non-removable'",,"b'Charcoal Black, Marl White, Camo Blue'",b'No',,b'$\xe2\x80\x89259.00 / \xe2\x82\xac\xe2\x80\x89169.90',,,,,,,,b'No',b'No',"b'Glass front, plastic back, stainless steel bezel ring and dial'",b'$\xe2\x80\x89259.00',,,,,,,,,,,,,,,,,
