Brand,Model Name,Model Image,Technology,2G bands,3G bands,4G bands,5G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Chipset,CPU,GPU,Card slot,Internal,_1,Triple,Features,Video,Dual,Features_1,Video_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,NFC,Infrared port,Radio,USB,Sensors,Type_1,Charging,Colors,_1_1,Models,Price,Quad,Single,Performance,Display,Camera,Loudspeaker_1,Battery life,GPRS,EDGE,Build,4GB,Single_1,Dual_1,Protection,128GB 4GB RAM,256GB 8GB RAM,128GB 8GB RAM,128GB 6GB RAM,Audio quality,256GB 6GB RAM,Triple_1,64GB 3GB RAM,64GB 4GB RAM,64GB 6GB RAM,SAR EU,SAR,Stand-by,Talk time,Keyboard,Browser,Alert types,Music play,Phonebook,Call records,Messaging,Games,Java,Stand-by_1,Talk time_1,Penta,256GB 12GB RAM,512GB 8GB RAM,4GB 32MB RAM,32GB 2GB RAM,Five,32GB 3GB RAM,16GB 2GB RAM,32GB 4GB RAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei nova 8 Pro 5G',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-8-pro-5g.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 8, 9, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 3, 28, 38, 41, 77, 78, 79, 80, 83, 84 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, December 23'","b'Available. Released 2021, January 08'",b'163.3 x 74.1 x 7.9 mm (6.43 x 2.92 x 0.31 in)',b'184 g (6.49 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, 1B colors, HDR10, 120Hz'","b'6.72 inches, 110.9 cm2 (~91.7% screen-to-body ratio)'","b'1236 x 2676 pixels, 19.5:9 ratio (~439 ppi density)'",b'CDMA 800',"b'Android 10, EMUI 11, no Google Play Services'",b'Kirin 985 5G (7 nm)',b'Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55)',b'Mali-G77 (8-core)',b'No',"b'128GB 8GB RAM, 256GB 8GB RAM'",b'UFS',,"b'LED flash, panorama, HDR'","b'4K, 1080p, 720p@960fps, gyro-EIS'","b'16 MP, f/2.0, (wide) 32 MP, f/2.4, 100\xcb\x9a (ultrawide)'",b'HDR',b'4K',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/a/6, dual-band, Wi-Fi Direct, hotspot'","b'5.2, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC'",b'Yes',,b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 4000 mAh, non-removable'","b'Fast charging 66W, 60% in 15 min, 100% in 35 min Reverse charging 5W'","b'Black, Blue, Green, White'",,b'BRQ-AN00',b'$\xe2\x80\x89799.99',"b'64 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.4, 120\xcb\x9a, 17mm (ultrawide) 2 MP, f/2.4, (depth) 2 MP, f/2.4, (macro)'",,,,,,,,,,,,,,,b'$\xe2\x80\x89869.99',b'$\xe2\x80\x89799.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei nova 8 5G',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-8-5g.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 8, 9, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 3, 28, 38, 41, 77, 78, 80, 83, 84 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, December 23'","b'Available. Released 2021, January 05'",b'160.1 x 74.1 x 7.6 mm (6.30 x 2.92 x 0.30 in)',b'169 g (5.96 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, 1B colors, HDR10, 90Hz'","b'6.57 inches, 106.0 cm2 (~89.3% screen-to-body ratio)'","b'1080 x 2340 pixels, 19.5:9 ratio (~392 ppi density)'",b'CDMA 800',"b'Android 10, EMUI 11, no Google Play Services'",b'Kirin 985 5G (7 nm)',b'Octa-core (1x2.58 GHz Cortex-A76 & 3x2.40 GHz Cortex-A76 & 4x1.84 GHz Cortex-A55)',b'Mali-G77 (8-core)',b'No',"b'128GB 8GB RAM, 256GB 8GB RAM'",b'UFS',,"b'LED flash, panorama, HDR'","b'4K, 1080p, 720p@960fps, gyro-EIS'",,b'HDR',b'4K',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS, GALILEO, QZSS'",b'Yes',,b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 3800 mAh, non-removable'","b'Fast charging 66W, 60% in 15 min, 100% in 35 min Reverse charging 5W'","b'Black, Blue, Green, White'",,b'ANG-AN00',b'About 410 EUR',"b'64 MP, f/1.9, 26mm (wide), PDAF 8 MP, f/2.4, 120\xcb\x9a, 17mm (ultrawide) 2 MP, f/2.4, (depth) 2 MP, f/2.4, (macro)'","b'32 MP, f/2.0, 26mm (wide)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Enjoy 20 SE',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-20-se.jpg',b'GSM / CDMA / HSPA / EVDO / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'1, 3, 5, 8, 34, 38, 39, 40, 41'",,"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, December 23'","b'Available. Released 2021, January 19'",b'165.7 x 76.9 x 9.3 mm (6.52 x 3.03 x 0.37 in)',b'206 g (7.27 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.67 inches, 107.4 cm2 (~84.3% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~395 ppi density)'",b'CDMA 800',"b'Android 10, EMUI 10.1, no Google Play Services'",b'Kirin 710A (14 nm)',b'Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53)',b'Mali-G51 MP4',b'microSDXC (uses shared SIM slot)',"b'128GB 4GB RAM, 128GB 8GB RAM'",b'CDMA2000 1xEV-DO',"b'13 MP, f/1.8, 26mm (wide), PDAF 8 MP, f/2.4, 120\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, f/2.4, (macro)'","b'LED flash, HDR, panorama'",b'1080p@30/60fps',,b'HDR',b'1080p@30fps',b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS'",b'No',,b'Unspecified',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'","b'Li-Po 5000 mAh, non-removable'","b'Fast charging 22.5W, 46% in 30 min (advertised)'","b'Crush Green, Blush Gold, Midnight Black'",,b'PPA-AL20',b'About 160 EUR',,"b'8 MP, f/2.0, (wide)'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei nova 8 SE',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-8-se.jpg',b'GSM / CDMA / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41'","b'1, 28, 41, 77, 78 SA/NSA'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, November 06'","b'Available. Released 2020, November 11'",b'161.1 x 74.8 x 7.5 mm (6.34 x 2.94 x 0.30 in)',b'178 g (6.28 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, HDR10'","b'6.53 inches, 102.9 cm2 (~85.4% screen-to-body ratio)'","b'1080 x 2400 pixels, 20:9 ratio (~403 ppi density)'",b'CDMA 800 & TD-SCDMA',"b'Android 10, EMUI 10.1, no Google Play Services'",b'MediaTek MT6853 Dimensity 720 5G (7 nm) - standard modelMediaTek Dimensity 800U 5G (7 nm) - premium model',b'Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) - standard modelOcta-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55) - premium model',b'Mali-G57 MC3',b'No',b'128GB 8GB RAM',,,"b'LED flash, Panorama, HDR'","b'4K@30fps, 1080p@30fps'",,b'HDR',b'1080p@30fps',b'Yes',b'No',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.1, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO, BDS, QZSS'",b'No',,b'No',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (under display, optical), accelerometer, gyro, proximity, compass'","b'Li-Po 3800 mAh, non-removable'","b'Fast charging 66W, 60% in 15 min, 100% in 35 min (advertised)'","b'Black, Deep Blue, Blue, Silver'",,b'JSC-AN00',b'$\xe2\x80\x89469.99',"b'64 MP, f/1.9, 26mm (wide), PDAF 8 MP, f/2.4, 120\xcb\x9a, 17mm (ultrawide) 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'","b'16 MP, f/2.0, (wide)'",,,,,,,,,,,,,,,b'$\xe2\x80\x89469.99',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'huawei',b'Huawei Mate 40 RS Porsche Design',b'https://fdn2.gsmarena.com/vv/bigpic/huawei-mate40-rs.jpg',b'GSM / HSPA / LTE / 5G',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100',"b'1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 26, 34, 38, 39, 40, 41'","b'1, 3, 28, 38, 40, 41, 77, 78, 79, 80, 84 SA/NSA/Sub6'","b'HSPA 42.2/5.76 Mbps, LTE-A, 5G'","b'2020, October 22'","b'Available. Released 2020, November 04'",b'162.9 x 75.5 x 10.1 mm (6.41 x 2.97 x 0.40 in)',b'234 g (8.25 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'","b'OLED, HDR10, 90Hz'","b'6.76 inches, 115.7 cm2 (~94.1% screen-to-body ratio)'","b'1344 x 2772 pixels, 18.5:9 ratio (~456 ppi density)'",b'IP68 dust/water resistant',"b'Android 10, EMUI 11, no Google Play Services'",b'Kirin 9000 5G (5 nm)',b'Octa-core (1x3.13 GHz Cortex-A77 & 3x2.54 GHz Cortex-A77 & 4x2.05 GHz Cortex-A55)',b'Mali-G78 MP24',"b'NM (Nano Memory), up to 256GB (uses shared SIM slot)'","b'256GB 12GB RAM, 512GB 12GB RAM'",b'SFS 1.0',,"b'Leica optics, LED flash, panorama, HDR'","b'4K@30/60fps, 1080p@30/60/120/240/480fps, 720p@960fps, 720p@3840fps, HDR, gyro-EIS'","b'13 MP, f/2.4, 18mm (ultrawide) TOF 3D, (depth/biometrics sensor)'","b'HDR, panorama'","b'4K@30/60fps, 1080p@30/60/240fps'","b'Yes, with stereo speakers'",b'No',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.2, A2DP, LE'","b'Yes, with dual-band A-GPS, GLONASS, BDS, GALILEO, QZSS, NavIC'",b'Yes',b'Yes',b'No',"b'USB Type-C 3.1, USB On-The-Go'","b'Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, barometer, compass, infrared thermometer, color spectrum'","b'Li-Po 4400 mAh, non-removable'",b'Fast charging 66W Fast wireless charging 50W Reverse wireless charging 5W',"b'Ceramic White, Ceramic Black, Collector Edition'",b'32-bit/384kHz audio',b'NOP-AN00',b'About 2300 EUR',,,,,,,,,,"b'Glass front, ceramic back, aluminum frame'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b'50 MP, f/1.9, 23mm (wide), 1/1.28"", 1.22\xc2\xb5m, omnidirectional PDAF, Laser AF, OIS 12 MP, f/2.4, (telephoto), PDAF, OIS, 3x optical zoom 8 MP, f/4.4, 240mm (periscope telephoto), PDAF, OIS, 10x optical zoom 20 MP, f/1.8, 18mm (ultrawide), PDAF TOF 3D, (depth)'",,,,,,,,
