Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Card slot,Single,Video,_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1_1,Type_1,Stand-by,Talk time,Colors,Internal,GPRS,EDGE,Keyboard,Phonebook,Call records,Features,Messaging,Games,Java,Alert types,4G bands,Chipset,CPU,GPU,Single_1,Video_1,NFC,Infrared port,Music play,Price,Build,Dual,Charging,Features_1,Models,SAR,Quad,128GB 8GB RAM,Protection,Triple,64GB 4GB RAM,128GB 6GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,Dual_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Hot 10 Play',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-hot10-play.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE'","b'2021, January 21'","b'Available. Released 2021, January 21'",b'171.8 x 78 x 8.9 mm (6.76 x 3.07 x 0.35 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.82 inches, 110.5 cm2 (~82.4% screen-to-body ratio)'",b'720 x 1640 pixels (~263 ppi density)',b'HSDPA 850 / 900 / 2100',"b'Android 10 (Go edition), XOS 7'",b'microSDXC (dedicated slot)',"b'8 MP, (wide)'",b'1080p@30fps',"b'1, 3, 5, 8, 38, 40, 41'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'",b'Yes',"b'Yes, with A-GPS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity, compass'",,b'eMMC 5.1',"b'Li-Po 6000 mAh, non-removable'",,,"b'Aegean Blue, Morandi Green, Obsidian Black, Purple'","b'32GB 2GB RAM, 64GB 4GB RAM'",,,,,,"b'Quad-LED flash, panorama, HDR'",,,,,"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41'",b'MediaTek Helio G25 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)',b'Mali-G52 MC2',,b'1080p@30fps',b'No',,,b'About 80 EUR',"b'Glass front, plastic back, plastic frame'","b'13 MP, f/1.8, (wide), 1/3.1"", 1.12\xc2\xb5m, AF Secondary unspecified camera'",b'Charging 10W',,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Smart HD 2021',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-smart-hd-2021.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, December 16'","b'Available. Released 2020, December 24'",b'158.3 x 75.2 x 9.8 mm (6.23 x 2.96 x 0.39 in)',b'195 g (6.88 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 500 nits (typ)'","b'6.1 inches, 91.3 cm2 (~76.7% screen-to-body ratio)'","b'720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)'",b'eMMC 5.1',"b'Android 10 (Go edition), XOS 6.2'",b'microSDXC (dedicated slot)',"b'5 MP, f/2.0'",b'1080p@30fps',,b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB 2.0',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,,"b'Li-Po 5000 mAh, non-removable'",,,"b'Topaz Blue, Obsidian Black, Quartz Green'",b'32GB 2GB RAM',,,,,,"b'Dual-LED flash, HDR, panorama'",,,,,"b'1, 3, 5, 8, 38, 40, 41'",b'Mediatek MT6761D Helio A20 (12 nm)',b'Quad-core 1.8 GHz Cortex-A53',b'PowerVR GE8320',,b'1080p@30fps',b'No',,,b'About 70 EUR',"b'Glass front, plastic back, plastic frame'","b'8 MP, f/2.0'",,"b'Dual-LED flash, HDR'",b'X612B',b'0.53 W/kg (head) \xc2\xa0 \xc2\xa0 1.22 W/kg (body)',,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Zero 8i',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-zero-8i.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/11.5 Mbps, LTE-A'","b'2020, December 03'","b'Available. Released 2020, December 09'",b'168.7 x 76.1 x 9.1 mm (6.64 x 3.00 x 0.36 in)',b'210.5 g (7.44 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 90Hz, 480 nits (typ)'","b'6.85 inches, 111.4 cm2 (~86.8% screen-to-body ratio)'",b'1080 x 2460 pixels (~392 ppi density)',b'India',b'Android 10',b'microSDXC (dedicated slot)',,"b'4K@30fps, 1080p@30/60fps, gyro-EIS'",b'UFS 2.1',b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",,,"b'Li-Po 4500 mAh, non-removable'",,,"b'Silver Diamond, Black Diamond'",b'128GB 8GB RAM',,,,,,"b'Quad-LED flash, HDR, panorama'",,,,,"b'1, 3, 5, 8, 38, 40, 41'",b'Mediatek MT6785 Helio G90T (12 nm)',b'Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55)',b'Mali-G76 MC4',,"b'4K@30fps, 1080p@30/60fps'",b'No',,,b'\xc2\xa3\xe2\x80\x89199.00',,"b'16 MP, f/2.0, (wide) 8 MP, f/2.2, 105\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m'",b'Fast charging 33W',"b'Dual-LED flash, HDR'",b'X687B',b'0.40 W/kg (head) \xc2\xa0 \xc2\xa0 0.95 W/kg (body)',"b'48 MP, f/1.8, (wide), PDAF 8 MP, 119\xcb\x9a (ultrawide), 1/4.0"", 1.12\xc2\xb5m 2 MP, (depth) 4th unknown camera'",b'\xc2\xa3\xe2\x80\x89199.00',,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Note 8',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-note8-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, October 15'","b'Available. Released 2020, November 04'",b'175.3 x 78.8 x 9 mm (6.90 x 3.10 x 0.35 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 480 nits (peak)'","b'6.95 inches, 114.7 cm2 (~83.0% screen-to-body ratio)'",b'720 x 1640 pixels (~258 ppi density)',b'HSDPA 850 / 900 / 2100',"b'Android 10, XOS 7.1'",b'microSDXC (dedicated slot)',,b'1440p@30fps',b'HSDPA 900 / 2100',"b'Yes, with dual speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, gyro, proximity, compass'",,"b'1, 3, 7, 8, 20, 28'","b'Li-Po 5200 mAh, non-removable'",,,"b'Gray, Blue, Green'",b'128GB 6GB RAM',,,,,,"b'Quad-LED flash, HDR, panorama'",,,,,"b'1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 41'",b'Mediatek Helio G80 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)',b'Mali-G52 MC2',,b'1080p@30fps',b'No',,,b'About 200 EUR',,"b'16 MP 2 MP, (depth)'",b'Fast charging 18W',b'Dual-LED flash',b'X692',,"b'64 MP, (wide), 1/1.73"", 0.8\xc2\xb5m, PDAF 2 MP, (macro) 2 MP, (depth) 2 MP'",,b'Corning Gorilla Glass',,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'infinix',b'Infinix Note 8i',b'https://fdn2.gsmarena.com/vv/bigpic/infinix-note-8i-.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, October 15'","b'Available. Released  2020, November 15'",b'171.4 x 77.7 x 8.9 mm (6.75 x 3.06 x 0.35 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'","b'IPS LCD, 480 nits (peak)'","b'6.78 inches, 109.2 cm2 (~82.0% screen-to-body ratio)'",b'720 x 1640 pixels (~264 ppi density)',b'HSDPA 900 / 2100',"b'Android 10, XOS 7.1'",b'microSDXC (dedicated slot)',b'8 MP',b'1440p@30fps',"b'1, 3, 7, 8, 20, 28'",b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (side-mounted), accelerometer, proximity, compass'",,,"b'Li-Po 5200 mAh, non-removable'",,,"b'Gray, Blue, Green'","b'128GB 4GB RAM, 128GB 6GB RAM'",,,,,,"b'Quad-LED flash, HDR, panorama'",,,,,"b'1, 3, 5, 7, 8, 20, 38, 40, 41'",b'Mediatek Helio G80 (12 nm)',b'Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)',b'Mali-G52 MC2',,b'1080p@30fps',b'No',,,b'About 150 EUR',,,b'Fast charging 18W',b'Dual-LED flash',b'X683',,"b'48 MP, (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, (macro) 2 MP, (depth) 2 MP'",,b'Corning Gorilla Glass',,,,,,,,,
