Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Card slot,Single,Video,_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1_1,Type_1,Stand-by,Talk time,Colors,Internal,GPRS,EDGE,Keyboard,Phonebook,Call records,Features,Messaging,Games,Java,Alert types,4G bands,Chipset,CPU,GPU,Single_1,Video_1,NFC,Infrared port,Music play,Price,Build,Dual,Charging,Features_1,Models,SAR,Quad,128GB 8GB RAM,Protection,Triple,64GB 4GB RAM,128GB 6GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,Dual_1,Stand-by_1,Talk time_1,SAR EU,Clock,Alarm
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lava',b'Lava Z6',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z6.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2021, January 07'","b'Available. Released 2021, January 11'",b'164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in)',b'190 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.51 inches, 102.3 cm2 (~82.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'eMMC 5.1',b'Android 10',b'microSDXC (dedicated slot)',"b'16 MP, f/2.0, (wide), 1/3.06"" 1.0\xc2\xb5m'",b'1080p@30fps',,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'USB Type-C',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,,"b'Li-Po 5000 mAh, non-removable'",,,"b'Blue, Red'",b'64GB 6GB RAM',,,,,,b'LED flash',,,,,"b'1, 3, 5, 8, 40, 41'",b'MediaTek Helio G35 (12 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',,b'1080p@30fps',b'No',,,b'About 110 EUR',"b'Glass front, plastic back, plastic frame'",,,b'LED flash',,,,,b'Corning Gorilla Glass 3',"b'13 MP, f/1.9, (wide), 1/3.0"", 1.12\xc2\xb5m, AF 5 MP, (ultrawide) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lava',b'Lava Z4',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z4.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2021, January 07'","b'Available. Released 2021, January 11'",b'164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in)',b'190 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.51 inches, 102.3 cm2 (~82.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'eMMC 5.1',b'Android 10',b'microSDXC (dedicated slot)',"b'16 MP, f/2.0, (wide), 1/3.06"" 1.0\xc2\xb5m'",b'1080p@30fps',,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'USB Type-C',"b'Fingerprint (rear-mounted), accelerometer, proximity'",,,"b'Li-Po 5000 mAh, non-removable'",,,"b'Blue, Red'",b'64GB 4GB RAM',,,,,,b'LED flash',,,,,"b'1, 3, 5, 8, 40, 41'",b'MediaTek Helio G35 (12 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',,b'1080p@30fps',b'No',,,b'About 100 EUR',"b'Glass front, plastic back, plastic frame'",,,b'LED flash',,,,,b'Corning Gorilla Glass 3',"b'13 MP, f/1.9, (wide), 1/3.0"", 1.12\xc2\xb5m, AF 5 MP, (ultrawide) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lava',b'Lava Z2',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z2.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2021, January 07'","b'Available. Released 2021, January 11'",b'164.5 x 75.8 x 9 mm (6.48 x 2.98 x 0.35 in)',b'190 g (6.70 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.51 inches, 102.3 cm2 (~82.1% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'eMMC 5.1',b'Android 10 (Go edition)',b'microSDXC (dedicated slot)',"b'8 MP, f/2.0, (wide)'",b'1080p@30fps',,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'USB Type-C',"b'Fingerprint (rear-mounted), accelerometer'",,,"b'Li-Po 5000 mAh, non-removable'",,,"b'Blue, Red'",b'32GB 2GB RAM',,,,,,b'LED flash',,,,,"b'1, 3, 5, 8, 40, 41'",b'MediaTek Helio G35 (12 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',,b'1080p@30fps',b'No',,,b'About 80 EUR',"b'Glass front, plastic back, plastic frame'","b'13 MP, f/1.9, (wide), 1/3.0"", 1.12\xc2\xb5m, AF 2 MP, f/2.4, (depth)'",,,,,,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lava',b'Lava Z1',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z1.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2021, January 07'","b'Available. Released 2021, January 26'",b'145.1 x 73.3 x 10.3 mm (5.71 x 2.89 x 0.41 in)',b'-',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'TFT',"b'5.0 inches, 68.9 cm2 (~64.8% screen-to-body ratio)'","b'480 x 854 pixels, 16:9 ratio (~196 ppi density)'",b'eMMC 5.1',b'Android 10 (Go edition)',b'No',"b'5 MP, f/2.2'",b'720p@30fps',,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS'",b'FM radio',b'microUSB',b'Accelerometer',,,"b'Li-Ion 3100 mAh, non-removable'",,,"b'Blue, Red'",b'16GB 2GB RAM',,,,,,b'LED flash',,,,,"b'1, 3, 5, 8, 40, 41'",b'Mediatek MT6761 Helio A20 (12 nm)',b'Quad-core 1.8 GHz Cortex-A53',b'PowerVR GE8320',"b'5 MP, f/2.2'",b'720p',b'No',,,b'About 60 EUR',"b'Glass front, plastic back, plastic frame'",,,,,,,,b'Corning Gorilla Glass 3',,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lava',b'Lava Z61 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/lava-z61-pro.jpg',b'GSM / HSPA / LTE',b'GSM 900 / 1800 - SIM 1 & SIM 2',b'HSDPA 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps'","b'2020, July 09'","b'Available. Released 2020, July'",b'147 x 71.8 x 9.2 mm (5.79 x 2.83 x 0.36 in)',b'160 g (5.64 oz)',"b'Dual SIM (Nano-SIM, dual stand-by)'",b'TFT LCD',"b'5.45 inches, 76.7 cm2 (~72.6% screen-to-body ratio)'","b'720 x 1440 pixels, 18:9 ratio (~295 ppi density)'",,b'Android 9.0 (Pie)',b'microSDXC (dedicated slot)',"b'8 MP, f/2.0, (wide), 1.12\xc2\xb5'",b'1080p@30fps',,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot'","b'4.2, A2DP, LE'","b'Yes, with A-GPS, GLONASS'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Face ID, accelerometer, proximity'",,,"b'Li-Po 3100 mAh, non-removable'",,,"b'Midnight Blue, Amber Red'",b'16GB 2GB RAM',,,,,,"b'LED flash, HDR, panorama'",,,,,"b'1, 3, 5, 8, 40, 41'",,b'Octa-core 1.6 GHz processor',,"b'5 MP, f/2.2, (wide), 1.12\xc2\xb5'",b'',b'No',,,b'About 70 EUR',"b'Glass front, plastic back, plastic frame'",,"b'5W, 100% in 3h 30 min (advertised)'",b'LED flash',,,,,,,,,,,,,,,,,,,
