Brand,Model Name,Model Image,Technology,2G bands,3G bands,Speed,Announced,Status,Dimensions,Weight,SIM,Type,Size,Resolution,,OS,Card slot,Single,Video,_1,Loudspeaker,3.5mm jack,WLAN,Bluetooth,GPS,Radio,USB,Sensors,Browser,_1_1,Type_1,Stand-by,Talk time,Colors,Internal,GPRS,EDGE,Keyboard,Phonebook,Call records,Features,Messaging,Games,Java,Alert types,4G bands,Chipset,CPU,GPU,Single_1,Video_1,NFC,Infrared port,Music play,Price,Build,Dual,Charging,Features_1,Models,SAR,Quad,128GB 8GB RAM,Protection,Triple,64GB 4GB RAM,128GB 6GB RAM,Performance,Display,Camera,Loudspeaker_1,Battery life,Dual_1,Stand-by_1,Talk time_1,SAR EU,Clock,Alarm,Audio quality,5G bands,512GB 16GB RAM,128GB 12GB RAM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo K12 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-k12-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only)',b'HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, December 09'","b'Available. Released 2020, December 12'",b'172.1 x 76.8 x 9.7 mm (6.78 x 3.02 x 0.38 in)',b'221 g (7.80 oz)',"b'Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.8 inches, 109.8 cm2 (~83.1% screen-to-body ratio)'",b'720 x 1640 pixels (~263 ppi density)',b'Water-repellent coating',b'Android 10',b'microSDXC (uses shared SIM slot)',"b'16 MP, f/2.2, 1.0\xc2\xb5m'",b'1080p@30/60fps',,b'Yes',b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, A-GPS, GLONASS, GALILEO, LTEEP, SUPL'",b'FM radio',"b'USB Type-C 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'",,,"b'Li-Po 6000 mAh, non-removable'",,,"b'Electric Violet, Metallic Sage'","b'64GB 4GB RAM, 128GB 4GB RAM'",,,,,,"b'LED flash, HDR, panorama'",,,,,"b'1, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41'",b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.0 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',,b'1080p@30fps',b'Yes',,,b'About 130 EUR',,,b'Fast charging 20W Reverse charging 2.5W',b'HDR',b'XT2091-8',,,,,"b'64 MP, f/1.8, 26mm (wide), 1/1.97"", 0.7\xc2\xb5m, PDAF 2 MP, f/2.4, (macro) 2 MP, f/2.4, (depth)'",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo K12 (China)',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-k12.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, December 09'","b'Available. Released 2020, December 12'",b'165.2 x 75.7 x 9.2 mm (6.50 x 2.98 x 0.36 in)',b'200 g (7.05 oz)',"b'Hybrid Dual SIM (Nano-SIM, dual stand-by)'",b'IPS LCD',"b'6.5 inches, 102.0 cm2 (~81.6% screen-to-body ratio)'","b'720 x 1600 pixels, 20:9 ratio (~270 ppi density)'",b'eMMC 5.1',b'Android 10',b'microSDXC (uses shared SIM slot)',"b'8 MP, f/2.2, 26mm (wide), 1/4"", 1.12\xc2\xb5m'",b'1080p@30/60fps',,b'Yes',b'Yes',"b'Wi-Fi 802.11 b/g/n, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, GALILEO'",b'FM radio',"b'microUSB 2.0, USB On-The-Go'","b'Fingerprint (rear-mounted), accelerometer, proximity'",,,"b'Li-Po 5000 mAh, non-removable'",,,"b'Navy Blue, Gray'",b'64GB 4GB RAM',,,,,,"b'LED flash, HDR, panorama'",,,,,"b'1, 3, 5, 7, 8, 20, 28, 38, 39, 40, 41'",b'Qualcomm SM4250 Snapdragon 460 (11 nm)',b'Octa-core (4x1.8 GHz Kryo 240 & 4x1.6 GHz Kryo 240)',b'Adreno 610',,b'1080p@30fps',b'No',,,b'About 100 EUR',,"b'48 MP, f/1.7, 26mm (wide), 1/2.0"", 0.8\xc2\xb5m, PDAF 2 MP, (depth)'",b'Charging 10W Reverse charging 2.5W',b'HDR',,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo Tab P11 Pro',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-pro.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 1900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2020, August 31'","b'Available. Released 2020, December 14'",b'264.3 x 171.4 x 6.9 mm (10.41 x 6.75 x 0.27 in)',b'485 g (1.07 lb)',b'Nano-SIM',"b'OLED, HDR10, 500 nits (typ)'","b'11.5 inches, 383.5 cm2 (~84.6% screen-to-body ratio)'","b'1600 x 2560 pixels, 16:10 ratio (~263 ppi density)'",b'Stylus support',b'Android 10',b'microSDXC',,b'1080p@30fps',b'Dolby Vision',"b'Yes, with stereo speakers (4 speakers)'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Unspecified',b'USB Type-C 3.2',"b'Fingerprint (side-mounted), accelerometer, gyro, proximity'",,,"b'Li-Po 8600 mAh, non-removable'",,,"b'Slate Grey, Platinum Grey'","b'128GB 4GB RAM, 128GB 6GB RAM'",,,,,,,,,,,"b'1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 39, 40, 41'",b'Qualcomm SDM730 Snapdragon 730G (8 nm)',b'Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver)',b'Adreno 618',,b'',b'No',,,b'About 550 EUR',"b'Glass front, aluminum frame, aluminum back'","b'13 MP, (wide), AF 5 MP, (ultrawide)'",b'Fast charging 20W',,,,,,,,,,,,,,,"b'8 MP, (wide) 8 MP, IR TOF 3D, (biometrics sensor only)'",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo Tab P11',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 850 / 900 / 2100',"b'HSPA 42.2/5.76 Mbps, LTE-A'","b'2021, January 07'","b'Coming soon. Exp. release 2021, February'",b'258.4 x 163 x 7.5 mm (10.17 x 6.42 x 0.30 in)',b'490 g (1.08 lb)',b'Nano-SIM',"b'IPS LCD, 400 nits (typ)'","b'11.0 inches, 344.4 cm2 (~81.8% screen-to-body ratio)'","b'1200 x 2000 pixels, 5:3 ratio (~212 ppi density)'",b'Stylus support',b'Android 10',b'microSDXC',"b'13 MP, (wide), AF'",b'1080p@30fps',,"b'Yes, with stereo speakers (4 speakers)'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot'","b'5.0, A2DP, LE'","b'Yes, with A-GPS, GLONASS, BDS'",b'Unspecified',b'USB Type-C 2.0',"b'Accelerometer, gyro, proximity'",,,"b'Li-Po 7700 mAh, non-removable'",,,"b'Slate Grey, White'","b'64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM'",,,,,,b'LED flash',,,,,b'LTE (unspecified)',b'Qualcomm SM6115 Snapdragon 662 (11 nm)',b'Octa-core (4x2.3 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver)',b'Adreno 610',"b'8 MP, (wide)'",b'1080p@30fps',b'No',,,b'About 190 EUR',,,b'Fast charging 20W',,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b'lenovo',b'Lenovo Tab M10 HD Gen 2',b'https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m10-hd-gen2--.jpg',b'GSM / HSPA / LTE',b'GSM 850 / 900 / 1800 / 1900',b'HSDPA 800 / 850 / 900 / 1900 / 2100',"b'HSPA, LTE'","b'2020, August 31'","b'Available. Released 2020, November'",b'241.5 x 149.4 x 8.3 mm (9.51 x 5.88 x 0.33 in)',b'420 g (14.82 oz)',b'Nano-SIM',"b'IPS LCD, 400 nits (typ)'","b'10.1 inches, 295.8 cm2 (~82.0% screen-to-body ratio)'","b'800 x 1280 pixels, 16:10 ratio (~149 ppi density)'",b'eMMC 5.1',b'Android 10',b'microSDXC (dedicated slot)',"b'8 MP, AF'",b'1080p@30fps',,"b'Yes, with stereo speakers'",b'Yes',"b'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'","b'5.0, LE'","b'Yes, with A-GPS (LTE model), GLONASS'",b'FM radio',"b'USB Type-C 2.0, USB On-The-Go; magnetic connector'","b'Accelerometer, proximity'",,,"b'Li-Po 5000 mAh, non-removable'",,,"b'Iron Gray, Platinum Gray'","b'32GB 2GB RAM, 64GB 4GB RAM'",,,,,,,,,,,"b'1, 2, 3, 4, 5, 7, 8, 19, 20, 28, 38, 40'",b'Mediatek MT6762 Helio P22T (12 nm)',b'Octa-core (4x2.3 GHz Cortex-A53 & 4x1.8 GHz Cortex-A53)',b'PowerVR GE8320',b'5 MP',b'',b'No',,,b'About 170 EUR',,,b'Charging 10W',,,,,,,,,,,,,,,,,,,,,,,,
